Stock_ID,Stock_Name,Stock_Industry,Stock_Industry_Prev,Stock_Market,Stock_Code,Total_Value,Total_Value_Prev
834014,特瑞斯,专用设备,,CN,bj834014,1244481876.0,0
834021,流金科技,文化传媒,,CN,bj834021,1569719913.64,0
834033,康普化学,化学制品,,CN,bj834033,3333037725.0,0
834058,华洋赛车,交运设备,,CN,bj834058,991200000.0,0
834062,科润智控,电网设备,,CN,bj834062,1133971466.32,0
834261,一诺威,化学制品,,CN,bj834261,2422224463.36,0
834407,驰诚股份,仪器仪表,,CN,bj834407,597688000.0,0
834415,恒拓开源,软件开发,,CN,bj834415,770002948.7600001,0
834475,三友科技,专用设备,,CN,bj834475,1046073600.0,0
834599,同力股份,工程机械,,CN,bj834599,4552401500.0,0
834639,晨光电缆,电网设备,,CN,bj834639,933408000.0,0
834682,球冠电缆,电网设备,,CN,bj834682,1441440000.0,0
834765,美之高,装修装饰,,CN,bj834765,499125525.48,0
834770,艾能聚,光伏设备,,CN,bj834770,871885572.5,0
834950,迅安科技,电子元件,,CN,bj834950,892060000.0,0
835174,五新隧装,工程机械,,CN,bj835174,1492344544.4399998,0
835179,凯德石英,玻璃玻纤,,CN,bj835179,1566000000.0,0
835184,国源科技,软件开发,,CN,bj835184,971315400.0,0
835185,贝特瑞,电池,,CN,bj835185,28118501520.399998,0
835207,众诚科技,软件开发,,CN,bj835207,771149750.0000001,0
835237,力佳科技,电池,,CN,bj835237,729135600.0,0
835305,云创数据,软件开发,,CN,bj835305,2406597952.5,0
835368,连城数控,专用设备,,CN,bj835368,9725260006.0,0
835508,殷图网联,软件开发,,CN,bj835508,596500000.0,0
835640,富士达,通信设备,,CN,bj835640,3407263199.9999995,0
835670,数字人,软件开发,,CN,bj835670,1741391359.9999998,0
835857,百甲科技,钢铁行业,,CN,bj835857,790307974.9200001,0
835892,中科美菱,专用设备,,CN,bj835892,936355441.12,0
835985,海泰新能,光伏设备,,CN,bj835985,2011595300.0,0
836077,吉林碳谷,化纤行业,,CN,bj836077,10460736342.6,0
836149,旭杰科技,工程建设,,CN,bj836149,475001520.0,0
836208,青矩技术,工程咨询服务,,CN,bj836208,2330425397.76,0
836221,易实精密,汽车零部件,,CN,bj836221,1018250999.9999999,0
836239,长虹能源,电池,,CN,bj836239,1892271193.65,0
836247,华密新材,橡胶制品,,CN,bj836247,1244505690.0,0
836260,中寰股份,仪器仪表,,CN,bj836260,765234500.0,0
836263,中航泰达,环保行业,,CN,bj836263,884547200.0,0
836270,天铭科技,通用设备,,CN,bj836270,990364800.0,0
836395,朗鸿科技,电子元件,,CN,bj836395,906444000.0,0
836414,欧普泰,专用设备,,CN,bj836414,868756408.62,0
836419,万德股份,化学制品,,CN,bj836419,880977486.4799999,0
836422,润普食品,食品饮料,,CN,bj836422,614070007.4,0
836433,大唐药业,中药,,CN,bj836433,1697578307.36,0
836504,博迅生物,仪器仪表,,CN,bj836504,711529502.0000001,0
836675,秉扬科技,非金属材料,,CN,bj836675,1091735320.0,0
836699,海达尔,通用设备,,CN,bj836699,603166466.0,0
836717,瑞星股份,专用设备,,CN,bj836717,760328400.0,0
836720,吉冈精密,通用设备,,CN,bj836720,1862365405.9999998,0
836807,奔朗新材,非金属材料,,CN,bj836807,1136750000.0,0
836826,盖世食品,食品饮料,,CN,bj836826,969737108.62,0
836871,派特尔,塑料制品,,CN,bj836871,507314798.08,0
836892,广咨国际,工程咨询服务,,CN,bj836892,1391202723.6799998,0
836942,恒立钻具,专用设备,,CN,bj836942,662332680.0,0
836957,汉维科技,化学原料,,CN,bj836957,735014137.9,0
837006,晟楠科技,航天航空,,CN,bj837006,1232420280.0,0
837046,亿能电力,电网设备,,CN,bj837046,467457500.0,0
837092,汉鑫科技,软件开发,,CN,bj837092,1439753760.0,0
837174,宏裕包材,塑料制品,,CN,bj837174,823093340.0799999,0
837212,智新电子,电子元件,,CN,bj837212,773469000.0,0
837242,建邦科技,贸易行业,,CN,bj837242,889166160.0,0
837344,三元基因,生物制品,,CN,bj837344,2498323100.0,0
837592,华信永道,软件开发,,CN,bj837592,918577000.0,0
837663,明阳科技,汽车零部件,,CN,bj837663,1218792000.0,0
837748,路桥信息,软件开发,,CN,bj837748,1305347400.0000002,0
837821,则成电子,电子元件,,CN,bj837821,927589470.84,0
838030,德众汽车,汽车服务,,CN,bj838030,802990167.69,0
838163,方大新材,包装材料,,CN,bj838163,922965920.0,0
838171,邦德股份,汽车零部件,,CN,bj838171,1471164100.0,0
838227,美登科技,互联网服务,,CN,bj838227,934596000.0,0
838262,太湖雪,纺织服装,,CN,bj838262,631597325.0400001,0
838275,驱动力,农药兽药,,CN,bj838275,634699296.0,0
838402,硅烷科技,化学原料,,CN,bj838402,4730319366.3,0
838670,恒进感应,专用设备,,CN,bj838670,1260940000.0,0
838701,豪声电子,电子元件,,CN,bj838701,1176000000.0,0
838810,春光药装,专用设备,,CN,bj838810,554850000.0,0
838837,华原股份,汽车零部件,,CN,bj838837,1036198335.21,0
